,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01114761544.04,8.0,0.0,0.0
ur.01025035147.44,13.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.01302573076.76,8.0,0.0,0.0
ur.0643037440.75,8.0,0.0,0.0
ur.01371251443.54,8.0,0.0,0.0
ur.0745072711.09,8.0,0.0,0.0
ur.01210354015.39,16.0,0.0009859502095144203,0.0008627064333251177
ur.01342201614.03,13.0,0.00013693752909922494,0.00013693752909922494
ur.01326331316.36,13.0,0.00010955002327937996,0.00013693752909922494
ur.01345167466.83,15.0,0.0,0.0
ur.01327120370.85,10.0,0.0,0.0
ur.01027360515.45,10.0,0.0,0.0
ur.0772044641.97,18.0,0.0,0.0
ur.01246154410.41,15.0,0.0,0.0
ur.01254327451.19,15.0,0.0,0.0
ur.016407120700.48,15.0,0.0,0.0
ur.013563435547.33,10.0,0.0,0.0
ur.0613536772.74,15.0,0.0,0.0
ur.013767313517.15,10.0,0.0,0.0
ur.0703271022.11,15.0,0.0,0.0
ur.01153317603.12,12.0,0.0,0.0
ur.012713772055.64,12.0,0.0,0.0
ur.0614556103.40,12.0,0.0,0.0
ur.0624350162.42,12.0,0.0,0.0
ur.01341146405.02,12.0,0.0,0.0
ur.01306127643.16,23.0,0.0002601813052885273,0.0003423438227480624
ur.0731004503.98,12.0,0.0,0.0
ur.01051667767.36,12.0,0.0,0.0
ur.016407503417.17,12.0,0.0,0.0
ur.01007254266.39,12.0,0.0,0.0
ur.0575366524.50,12.0,0.0,0.0
ur.01265320531.87,56.0,0.002834606852353945,0.00334127571002107
ur.01062773416.18,9.0,0.0,0.0
ur.01245335216.41,9.0,0.0,0.0
ur.01352664021.07,9.0,0.0,0.0
ur.01055251116.48,9.0,0.0,0.0
ur.01177222016.82,9.0,0.0,0.0
ur.0664661612.07,9.0,0.0,0.0
ur.01131374017.28,9.0,0.0,0.0
ur.01313450416.70,9.0,0.0,0.0
ur.01007633377.60,9.0,0.0,0.0
ur.01361563616.80,9.0,0.0,0.0
ur.01131561444.16,113.0,0.0007805439158655827,0.0007394626571358151
ur.01121055702.32,41.0,0.00019171254073891488,0.0002464875523786048
ur.0633035766.57,29.0,0.0,0.0
ur.01170012152.03,61.0,0.00013693752909922494,9.585627036945747e-05
ur.01205207471.02,17.0,0.0,0.0
ur.01137074271.86,41.0,0.00019171254073891488,0.00013693752909922494
ur.0670302102.17,138.0,0.003916413332237806,0.003847944567688195
ur.01276632341.43,17.0,0.0,0.0
ur.01135273536.27,17.0,0.0,0.0
ur.0773321367.23,17.0,0.0,0.0
ur.0623727372.36,17.0,0.0,0.0
ur.01165636465.22,17.0,0.0,0.0
ur.0712770043.86,31.0,0.0008900939391449628,0.0007394626571358151
ur.01254645532.16,135.0,0.005751376222167394,0.005477501163968948
ur.01144241361.34,29.0,0.0,0.0
ur.01010600434.98,126.0,0.007531564100457292,0.007572645359187059
ur.0610375740.57,289.0,0.01937666036754055,0.018568728945855033
ur.01214767546.51,268.0,0.012392846383479707,0.013228165310984967
ur.0713166417.01,10.0,0.0,0.0
ur.012144052033.29,10.0,0.0,0.0
ur.01363761320.49,16.0,0.0,0.0
ur.0774151716.64,10.0,0.0,0.0
ur.0650714317.78,10.0,0.0,0.0
ur.0736277201.46,10.0,0.0,0.0
ur.01072506216.67,10.0,0.0,0.0
ur.07752476357.90,52.0,0.001780187878289926,0.0016569441021006234
ur.01140621416.09,16.0,0.0,0.0
ur.01340416322.96,43.0,0.0025607317941554993,0.0026702818174348776
ur.01013136615.63,32.0,0.0004792813518472875,0.00041081258729767494
ur.01220765616.43,11.0,9.585627036945747e-05,2.7387505819844987e-05
ur.01224462277.89,2.0,0.0,0.0
ur.012444537052.09,11.0,5.4775011639689975e-05,0.0
ur.01056150363.71,8.0,0.0,0.0
ur.01244156415.42,8.0,0.0,0.0
ur.0772324615.88,18.0,0.0,0.0
ur.0620027464.40,23.0,0.0,0.0
ur.012623661112.06,8.0,0.0,0.0
ur.01123734311.78,8.0,0.0,0.0
ur.01156662033.54,8.0,0.0,0.0
ur.0103102412.32,8.0,0.0,0.0
ur.01040635132.36,40.0,0.0010133377153342654,0.001136581491523568
ur.01213042135.31,11.0,0.0,0.0
