,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC
123,23,1,0.043478260869565216,22,0,66091.84634382726,23.82608695652174,0.12764082892865505
124,17,1,0.058823529411764705,16,0,29950.77816072444,20.41176470588235,0.09974169125031018
125,25,0,0.0,25,0,116258.92036961556,22.56,0.12081882045026901
126,25,2,0.08,23,0,421973.23457573494,29.6,0.11733386257212762
127,24,0,0.0,24,0,721647.8531439672,22.5,0.11026258664220105
128,12,0,0.0,12,0,120969.76013899612,20.5,0.14655582162589323
129,13,1,0.07692307692307693,12,0,52776.908113933525,21.76923076923077,0.11677922312986633
130,13,0,0.0,13,0,15506.036265285029,14.538461538461538,0.11417645963551279
131,25,0,0.0,25,0,59213.980105823575,18.44,0.08898437805447806
132,19,0,0.0,19,0,220401.08739268666,14.789473684210526,0.08319257229356929
133,14,1,0.07142857142857142,13,0,24320.65371238929,32.642857142857146,0.1272731771475817
134,15,2,0.13333333333333333,13,0,0.0,21.933333333333334,0.12308203827344032
135,14,0,0.0,14,0,50388.98326672225,32.214285714285715,0.14678843386753268
136,16,3,0.1875,13,0,50531.028051535235,27.375,0.11986979404711542
137,25,2,0.08,23,0,432550.5122142133,26.8,0.12225256554976525
138,25,3,0.12,22,0,0.016842105263157894,24.24,0.1160819218494912
139,11,0,0.0,11,0,0.0,18.181818181818183,0.11345920701484204
140,13,1,0.07692307692307693,12,0,284187.4569335455,30.76923076923077,0.13181811164319066
141,23,2,0.08695652173913043,21,0,101499.27157888748,20.565217391304348,0.11350352641945059
142,24,2,0.08333333333333333,22,0,200535.1452274435,18.208333333333332,0.09111850640436515
143,19,0,0.0,19,0,2.142323262071827,29.105263157894736,0.12548882701675734
144,32,1,0.03125,31,0,116.32339587338488,19.84375,0.11199078841999632
145,12,1,0.08333333333333333,11,0,58465.6729103434,31.25,0.11712934771007331
146,12,0,0.0,12,0,192910.25132190922,34.833333333333336,0.14876613019569787
147,24,0,0.0,24,0,122854.46150726305,26.541666666666668,0.12871870785595477
148,18,0,0.0,18,0,487029.9064722109,28.0,0.12365598183188177
149,27,0,0.0,27,0,58428.605602724725,19.48148148148148,0.09001776309451796
150,24,3,0.125,21,0,6576.609319175693,21.958333333333332,0.12412692530477594
151,12,0,0.0,12,0,0.0,19.083333333333332,0.1232568415226752
152,17,1,0.058823529411764705,16,0,390613.13739695714,30.764705882352942,0.12826014451067752
153,21,0,0.0,21,0,438697.10703687154,27.666666666666668,0.1346569276328851
154,25,2,0.08,23,0,114123.78762527076,21.4,0.1285485892966669
155,31,1,0.03225806451612903,30,0,9308.266342106488,23.677419354838708,0.12988408490391817
156,16,0,0.0,16,0,6422.146599630901,31.75,0.1185670699395909
157,16,1,0.0625,15,0,8340.07863487205,17.1875,0.11877930217845656
158,43,2,0.046511627906976744,41,0,67799.71246504172,23.53488372093023,0.12058162518431781
159,18,0,0.0,18,0,11098.005362385009,25.944444444444443,0.12159349271220525
160,38,3,0.07894736842105263,35,0,552669.4946204226,23.07894736842105,0.10919413544348792
