researcher_id,journal.title,aff_country_code,LMIC
ur.0620371430.67,PLOS,BR,2
ur.0620411253.35,PLOS,BE,1
ur.0620544660.96,PLOS,GB,1
ur.0620552012.47,PLOS,LA,2
ur.0620556626.34,PLOS,FR,1
ur.0620561132.27,PLOS,SE,1
ur.0620561724.70,PLOS,GH,2
ur.0620577425.24,PLOS,GB,1
ur.0620612643.49,PLOS,AU,1
ur.0620625167.81,PLOS,GB,1
ur.0620637470.24,PLOS,ZA,2
ur.0620642630.54,PLOS,US,1
ur.0620665015.10,PLOS,IL,1
ur.0620665352.41,PLOS,FR,1
ur.0620701465.26,PLOS,US,1
ur.0620701654.16,PLOS,GB,1
ur.0620702674.06,PLOS,ZA,2
ur.0620707336.80,PLOS,GB,1
ur.0620747146.66,PLOS,GB,1
ur.0620761443.32,PLOS,ZA,2
ur.0621031622.28,PLOS,GB,1
ur.0621056416.57,PLOS,BE,1
ur.0621072220.38,PLOS,KE,2
ur.0621102021.05,PLOS,US,1
ur.0621132336.78,PLOS,JP,1
ur.0621137010.19,PLOS,DK,1
ur.0621200426.94,PLOS,GB,1
ur.0621207770.46,PLOS,CA,1
ur.0621213450.01,PLOS,SZ,2
ur.0621214524.69,PLOS,US,1
ur.0621230543.10,PLOS,GA,2
ur.0621247455.07,PLOS,US,1
ur.0621325067.32,PLOS,GB,1
ur.0621351410.09,PLOS,US,1
ur.0621363751.71,PLOS,US,1
ur.0621371506.29,PLOS,CA,1
ur.0621400711.30,PLOS,GB,1
ur.0621403517.35,PLOS,FR,1
ur.0621446456.52,PLOS,PL,1
ur.0621451151.27,PLOS,CH,1
ur.0621462260.63,PLOS,KE,2
ur.0621463664.80,PLOS,KE,2
ur.0621464365.60,PLOS,FR,1
ur.0621503055.61,PLOS,BD,2
ur.0621621022.09,PLOS,GB,1
ur.0621627055.36,PLOS,CH,1
ur.0621663561.55,PLOS,PE,2
ur.0621664007.67,PLOS,US,1
ur.0621707244.96,PLOS,GB,1
ur.0621721156.11,PLOS,CA,1
ur.0621751435.16,PLOS,DE,1
ur.0621752372.35,PLOS,GB,1
ur.0621775311.42,PLOS,US,1
ur.0622035427.96,PLOS,GB,1
ur.0622044546.68,PLOS,IN,2
ur.0622045050.35,PLOS,SE,1
ur.0622054427.36,PLOS,NL,1
ur.0622065372.50,PLOS,US,1
ur.0622073440.30,PLOS,US,1
ur.0622120405.51,PLOS,BD,2
ur.0622124523.09,PLOS,CH,1
ur.0622134521.61,PLOS,MZ,2
ur.0622143550.59,PLOS,GB,1
ur.0622150141.11,PLOS,NL,1
ur.0622150517.75,PLOS,NO,1
ur.0622161046.47,PLOS,PG,2
ur.0622202074.23,PLOS,AU,1
ur.0622216746.82,PLOS,NG,2
ur.0622320762.25,PLOS,AU,1
ur.0622324704.17,PLOS,IN,2
ur.0622325206.30,PLOS,US,1
ur.0622334005.28,PLOS,GB,1
ur.0622340512.12,PLOS,ES,1
ur.0622341344.58,PLOS,AU,1
ur.0622366414.05,PLOS,US,1
ur.0622415611.00,PLOS,VN,2
ur.0622416310.94,PLOS,CN,2
ur.0622424471.23,PLOS,SE,1
ur.0622446212.36,PLOS,,1
ur.0622446570.28,PLOS,MZ,2
ur.0622464074.33,PLOS,KE,2
ur.0622527066.99,PLOS,CA,1
ur.0622531257.54,PLOS,FR,1
ur.0622563205.52,PLOS,CH,1
ur.0622577453.55,PLOS,TW,1
ur.0622635634.14,PLOS,AU,1
ur.0622666573.41,PLOS,KE,2
ur.0622761551.57,PLOS,CH,1
ur.062276775.14,PLOS,FR,1
ur.0623010050.26,PLOS,GB,1
ur.0623011427.50,PLOS,US,1
ur.0623027175.35,PLOS,BE,1
ur.0623030705.19,PLOS,GB,1
ur.0623042672.22,PLOS,US,1
ur.0623043365.40,PLOS,GB,1
